image;label
ISIC_0000000;0
ISIC_0000001;0
ISIC_0000003;0
ISIC_0000006;0
ISIC_0000007;0
ISIC_0000008;0
ISIC_0000009;0
ISIC_0000011;0
ISIC_0000012;0
ISIC_0000014;0
ISIC_0000015;0
ISIC_0000016;0
ISIC_0000017;0
ISIC_0000018;0
ISIC_0000019;0
ISIC_0000020;0
ISIC_0000021;0
ISIC_0000023;0
ISIC_0000024;0
ISIC_0000025;0
ISIC_0000027;0
ISIC_0000028;0
ISIC_0000032;0
ISIC_0000034;0
ISIC_0000037;0
ISIC_0000038;0
ISIC_0000039;0
ISIC_0000041;0
ISIC_0000042;0
ISIC_0000044;0
ISIC_0000045;0
ISIC_0000047;0
ISIC_0000048;0
ISIC_0000050;0
ISIC_0000051;0
ISIC_0000052;0
ISIC_0000053;0
ISIC_0000055;0
ISIC_0000057;0
ISIC_0000058;0
ISIC_0000059;0
ISIC_0000060;0
ISIC_0000061;0
ISIC_0000062;0
ISIC_0000063;0
ISIC_0000064;0
ISIC_0000065;0
ISIC_0000066;0
ISIC_0000067;0
ISIC_0000068;0
ISIC_0000069;0
ISIC_0000071;0
ISIC_0000072;0
ISIC_0000073;0
ISIC_0000075;0
ISIC_0000079;0
ISIC_0000080;0
ISIC_0000081;0
ISIC_0000082;0
ISIC_0000085;0
ISIC_0000086;0
ISIC_0000087;0
ISIC_0000088;0
ISIC_0000089;0
ISIC_0000091;0
ISIC_0000092;0
ISIC_0000093;0
ISIC_0000094;0
ISIC_0000095;0
ISIC_0000096;0
ISIC_0000097;0
ISIC_0000098;0
ISIC_0000099;0
ISIC_0000100;0
ISIC_0000101;0
ISIC_0000102;0
ISIC_0000103;0
ISIC_0000104;0
ISIC_0000105;0
ISIC_0000107;0
ISIC_0000108;0
ISIC_0000109;0
ISIC_0000110;0
ISIC_0000111;0
ISIC_0000112;0
ISIC_0000113;0
ISIC_0000115;0
ISIC_0000116;0
ISIC_0000117;0
ISIC_0000119;0
ISIC_0000120;0
ISIC_0000121;0
ISIC_0000122;0
ISIC_0000123;0
ISIC_0000124;0
ISIC_0000125;0
ISIC_0000126;0
ISIC_0000127;0
ISIC_0000128;0
ISIC_0000129;0
ISIC_0000131;0
ISIC_0000132;0
ISIC_0000133;0
ISIC_0000134;0
ISIC_0000135;0
ISIC_0000136;0
ISIC_0000137;0
ISIC_0000138;0
ISIC_0000177;0
ISIC_0000179;0
ISIC_0000181;0
ISIC_0000182;0
ISIC_0000183;0
ISIC_0000184;0
ISIC_0000185;0
ISIC_0000186;0
ISIC_0000187;0
ISIC_0000188;0
ISIC_0000189;0
ISIC_0000190;0
ISIC_0000191;0
ISIC_0000192;0
ISIC_0000193;0
ISIC_0000196;0
ISIC_0000197;0
ISIC_0000198;0
ISIC_0000199;0
ISIC_0000200;0
ISIC_0000201;0
ISIC_0000202;0
ISIC_0000203;0
ISIC_0000204;0
ISIC_0000205;0
ISIC_0000206;0
ISIC_0000207;0
ISIC_0000208;0
ISIC_0000209;0
ISIC_0000210;0
ISIC_0000211;0
ISIC_0000212;0
ISIC_0000213;0
ISIC_0000214;0
ISIC_0000215;0
ISIC_0000216;0
ISIC_0000217;0
ISIC_0000218;0
ISIC_0000219;0
ISIC_0000220;0
ISIC_0000221;0
ISIC_0000222;0
ISIC_0000223;0
ISIC_0000224;0
ISIC_0000225;0
ISIC_0000226;0
ISIC_0000227;0
ISIC_0000228;0
ISIC_0000229;0
ISIC_0000230;0
ISIC_0000231;0
ISIC_0000232;0
ISIC_0000233;0
ISIC_0000234;0
ISIC_0000235;0
ISIC_0000236;0
ISIC_0000239;0
ISIC_0000240;0
ISIC_0000242;0
ISIC_0000243;0
ISIC_0000244;0
ISIC_0000245;0
ISIC_0000246;0
ISIC_0000247;0
ISIC_0000249;0
ISIC_0000250;0
ISIC_0000251;0
ISIC_0000252;0
ISIC_0000253;0
ISIC_0000254;0
ISIC_0000255;0
ISIC_0000256;0
ISIC_0000258;0
ISIC_0000259;0
ISIC_0000260;0
ISIC_0000261;0
ISIC_0000262;0
ISIC_0000263;0
ISIC_0000264;0
ISIC_0000265;0
ISIC_0000268;0
ISIC_0000269;0
ISIC_0000271;0
ISIC_0000274;0
ISIC_0000275;0
ISIC_0000315;0
ISIC_0000316;0
ISIC_0000317;0
ISIC_0000319;0
ISIC_0000320;0
ISIC_0000321;0
ISIC_0000322;0
ISIC_0000323;0
ISIC_0000324;0
ISIC_0000325;0
ISIC_0000326;0
ISIC_0000327;0
ISIC_0000328;0
ISIC_0000329;0
ISIC_0000330;0
ISIC_0000331;0
ISIC_0000332;0
ISIC_0000336;0
ISIC_0000337;0
ISIC_0000338;0
ISIC_0000339;0
ISIC_0000340;0
ISIC_0000341;0
ISIC_0000342;0
ISIC_0000343;0
ISIC_0000344;0
ISIC_0000345;0
